timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1574445600,Nov 22 2019 - 6:00pm,complete,N/A,Difaâ El Jadida,Raja Beni Mellal,N/A,1.33,0.00,1.69,0.18,1,0,1,0,0,0,"","",3,5,4,0,0,0,1,3,0,0,9,9,4,2,5,7,10,11,47,53,1.49,1.44,1.50,17,34,17,17,0,0,0,7.34,3.33,1.69,3.15,5.20,1.56,2.70,5.35,10.25,2.50,1.45,Stade Ben Ahmed El Abdi (El Jadida (Mazghan))
1574521200,Nov 23 2019 - 3:00pm,complete,N/A,Ittihad Tanger,Youssoufia Berrechid,N/A,1.00,0.00,1.30,0.38,2,0,2,0,0,0,"","",8,3,2,0,2,0,0,2,2,0,11,8,5,2,6,6,18,16,42,58,1.54,1.16,2.00,50,50,50,50,0,0,0,12.00,3.50,1.95,3.10,3.85,1.47,2.45,4.70,9.00,2.05,1.67,Grand Stade de Tanger (Tanger)
1574611200,Nov 24 2019 - 4:00pm,complete,N/A,Mouloudia Oujda,RSB Berkane,N/A,2.33,2.33,2.08,1.70,0,1,1,0,0,0,"","",10,4,0,0,5,0,0,0,2,3,18,6,6,2,12,4,15,21,60,40,2.25,0.96,2.17,67,67,34,17,0,0,0,8.34,6.00,2.05,2.80,3.95,1.57,2.75,5.50,10.50,2.35,1.51,Stade d'Honneur d'Oujda (Oujda)
1574618400,Nov 24 2019 - 6:00pm,complete,N/A,FUS Rabat,CR Khemis Zemamra,N/A,1.33,1.50,2.00,0.83,1,1,2,0,0,0,"","",2,3,3,1,0,0,1,3,0,0,9,11,4,3,5,8,22,14,56,44,1.45,1.38,2.50,59,59,42,17,17,0,0,7.17,6.17,2.10,2.85,3.60,1.65,3.00,6.05,11.50,2.55,1.44,Stade Prince Moulay Abdallah (Rabat)
1574776800,Nov 26 2019 - 2:00pm,complete,N/A,Hassania Agadir,Moghreb Tétouan,Karim Sabri,1.50,2.00,1.50,0.77,1,1,2,0,0,0,"","",6,1,1,0,0,0,0,1,0,0,4,7,2,4,2,3,-1,-1,60,40,0.97,1.27,2.00,50,75,25,0,0,0,0,6.00,4.50,2.60,2.85,2.75,1.57,2.80,5.60,10.75,2.25,1.56,Stade du 18 novembre (Al Khmissat (Khémisset))
1575043200,Nov 29 2019 - 4:00pm,complete,N/A,Khouribga,Mouloudia Oujda,N/A,1.00,1.00,1.17,1.17,1,4,5,0,0,0,"","",3,4,1,2,1,0,0,3,0,1,11,12,7,7,4,5,14,18,51,49,1.75,1.75,0.50,25,25,0,0,0,0,0,16.00,5.67,2.00,2.95,3.85,1.54,2.65,5.30,10.25,2.30,1.53,Stade du Phosphate (Khouribga)
1575050400,Nov 29 2019 - 6:00pm,complete,N/A,FAR Rabat,Ittihad Tanger,N/A,1.33,0.00,1.43,0.67,4,1,5,0,0,0,"","",7,3,2,0,3,0,1,1,1,2,17,9,5,4,12,5,21,20,63,37,1.96,1.17,2.25,17,59,42,42,0,0,0,11.00,2.00,2.00,2.95,3.90,1.54,2.65,5.25,10.00,2.30,1.54,Stade Prince Moulay Abdallah (Rabat)
1575208800,Dec 1 2019 - 2:00pm,complete,N/A,CR Khemis Zemamra,Difaâ El Jadida,Hicham Tiazi,1.33,2.00,1.36,1.08,1,2,3,0,0,0,"","",3,6,1,0,4,0,0,1,0,4,17,7,6,3,11,4,15,15,58,42,2.20,1.17,2.17,59,75,42,25,0,0,0,3.00,3.50,2.45,2.95,2.85,1.57,2.75,5.50,10.50,2.25,1.56,Stade Municipal Khemiss des Zemamra (Zemamra)
1575295200,Dec 2 2019 - 2:00pm,complete,N/A,Youssoufia Berrechid,Olympic Safi,N/A,1.33,1.00,1.92,0.92,1,0,1,0,0,0,"","",9,3,4,0,4,2,1,3,4,2,8,12,2,2,6,10,23,16,46,54,1.03,1.37,2.33,84,84,34,17,17,0,0,8.34,4.34,2.60,2.70,2.90,1.57,2.75,5.50,10.50,2.20,1.57,Stade Municipal de Berrechid (Berrechid)
1575309600,Dec 2 2019 - 6:00pm,complete,N/A,Moghreb Tétouan,Rapide Oued Zem,N/A,2.33,0.00,1.92,0.75,1,0,1,0,0,0,"","",4,5,0,0,0,0,0,0,0,0,16,10,5,5,11,5,19,21,48,52,1.85,1.51,2.00,33,84,17,0,0,0,0,10.66,3.67,1.54,3.40,6.10,1.50,2.55,5.00,9.50,2.55,1.43,Stade Saniat Rmel (Tétouan)
1575482400,Dec 4 2019 - 6:00pm,complete,N/A,Ittihad Tanger,Khouribga,N/A,1.67,1.33,1.30,0.77,1,1,2,0,0,0,"","",4,1,4,0,0,0,0,4,0,0,3,3,3,2,0,1,15,8,48,52,0.99,0.86,1.00,17,33,0,0,0,0,0,11.67,2.34,2.15,2.85,3.55,1.49,2.50,4.90,9.50,2.10,1.65,Grand Stade de Tanger (Tanger)
1575727200,Dec 7 2019 - 2:00pm,complete,N/A,FUS Rabat,Moghreb Tétouan,N/A,1.25,1.67,2.00,0.77,1,0,1,0,0,0,"","",6,8,3,0,4,0,1,2,1,3,17,11,10,8,7,3,-1,-1,39,61,2.08,1.50,2.38,71,88,13,13,13,0,0,4.58,5.17,2.65,2.50,3.05,1.56,2.70,5.35,10.25,2.20,1.59,Stade du FUS (Hay Nahda) (Rabat)
1575734400,Dec 7 2019 - 4:00pm,complete,N/A,Rapide Oued Zem,Olympic Safi,N/A,1.33,0.75,1.50,0.92,3,1,4,0,0,0,"","",4,1,2,0,2,0,0,2,0,2,4,3,4,2,0,1,11,7,48,52,1.09,0.78,1.46,42,42,17,17,0,0,0,8.42,4.25,2.55,2.80,2.80,1.61,2.90,5.80,11.25,2.35,1.51,Stade Municipal (Oued Zem)
1575820800,Dec 8 2019 - 4:00pm,complete,N/A,Mouloudia Oujda,FAR Rabat,N/A,1.75,1.00,2.08,1.50,0,2,2,0,0,0,"","",10,4,0,0,3,0,0,0,2,1,9,8,0,3,9,5,-1,-1,64,36,1.06,1.00,3.09,71,88,59,29,17,0,0,8.83,4.42,1.83,3.10,4.10,1.50,2.35,5.00,11.00,2.10,1.67,Stade d'Honneur d'Oujda (Oujda)
